#WeAreTheBest,Natl_Peoples_Congress,XJP,domestic_economics,intl_conflict,intl_cooperation,intl_economics,leadership,party_discipline,reform
China,conference,Xi Jinping,development,USA,cooperation,country,central,politics,reform
world,Peoples Congress,people,economics,organization,realtions,BRIC,Chinese Communist party,work,deepen
people,deliberate,development,innovation,poverty,development,security,Politburo,central,conference
international,draft,society,corporation,Syria,Xi Jinping,international,committee members,supervise,push forward
we,about,construction,construction,area,the Chinese side,cooperation,chairman,leadership,system
communist party,standing committee,work,society,poverty relief,bilateral,Xi Jinping,comrade,cadre,comprehensive
great,representative,we,finance,overcome poverty,field,leaders,national,within party,institution
characterstics,report,General Secretary,Li Keqiang,government,together,world,Chinese Peoples Political Consultative Conference,persist,implement
global,work,socialism,push on,issue,strengthen,global,secretary,comprehensive,work
realize,committee,persist,grow,Russia,push forward,together,nineteen,issue,mechanism
socialism,twelve,ethnic,promote,express,strategy,manage,standing committee,party management,central
era,people,great,policy,extreme,Chairman,meeting,leadership,inspection,perfect (v.)
history,decosopm,important,industry,at present,communication,developing,Xi Jinping,plenary session,construction
express,law,spirit,push forward,conduct,partner,scientific technology,spirit,organization,management
represent,Zhang Dejiang,characteristics,technology,today,meeting,internet,military commission,strictly,strengthen
today,national,thoughts,open up,already,friendly,Hong Kong,General Secretary,discipline,testing
convention,convention,emphasize,market,local,deepen,innovation,committee,life,service
China (Greater China area),committee chair,point out,supply,people,express,attend,communist party,strengthen,leadership
country,situation,comrade,technology,this year,international,technology,people,party member,emphasize
reform,pass,era,world,president,support,important,representative,important,comment
